text,target,template_group_id,score,prediction
"Shipped: Your Amazon packagewith Old Spice High EnduranceDeodorant, Pure Sport, 3.0 oz,5... will be delivered Tue, May24. Track at <URL>",0,b6bb62b87d325a46,0.842294874932916,1
"Arriving Today: Your Amazon package with Old Spice High Endurance Deodorant,PureSport, 3.0 oz,.. will be delivered by 8PM. Track at <URL>",0,0446f0cb8993865b,0.8752189221551424,1
Use [ <PHONE> ] as One Time Password to login to your Swiggy Account pgLJ0BdTNB3,0,07770d291a00ae21,0.909056876572932,1
"Biometric authentication is enabled for Kotak Bank Mobile Banking App on CPH2139 for CRN xx8418. To report fraud, click <URL>",0,d8a9513641336d9a,0.9505090960598085,1
"Alert! After successful mobile no. verification, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on <URL>",0,129d561ea5c31065,0.9724865611891634,1
Your WhatsApp code: 957-128 You can also tap on this link to verify your phone: <URL> Don't share this code with others,0,7c87bc84fd94f639,0.9907114127371577,1
"90% daily data quota used as on 03-May- <NUMBER> :44. Jio Number : <PHONE> For tips on how to manage data quota effectively, click <URL> If you do not have any other data plan, your internet speed will be reduced on consumption of <NUMBER> GB. To continue enjoying high speed internet, click <URL> and recharge. Dial <NUMBER> , to know your current balance, validity, plan details and for exciting recharge plans.",0,ff6ade827cbfbc5a,0.9867443391844322,1
"100% of daily <NUMBER> GB data quota exhausted as on 28-Apr- <NUMBER> :30. Jio Number : <PHONE> Daily high speed data quota will be restored on 29-Apr- <NUMBER> :19. To know where you have consumed your data quota, click <URL>",0,6c80b18473e08578,0.9664170363675353,1
"Recharge of Rs. <NUMBER> is successful for your Jio number <PHONE> . Entitlement: Benefits: Unlimited Data (1GB High Speed Data, thereafter unlimited at 64Kbps). Validity: Base Plans validity Transaction ID: <PHONE> To view details of your current and upcoming plan, click <URL> To share your recharge experience, click <URL> Dial <NUMBER> , to know your current balance, validity, plan details and for exciting recharge plans.",0,10e5597c7b106b7c,0.9965285453775443,1
"FREY: Hey Corinne, your FREY order has shipped!!!! We hope you're as excited as we are!!! Let us know if we can do anything foryou =) Just contact us here: <URL>",0,f283806b4c3c696c,0.7853566447604514,1
"KFC is preparing your order, to be delivered between 12:50 PM and 1:00 PM. Track your food online or with the Grubhub app <URL> .link/sms",0,891fad3da0ab8334,0.8776522610666788,1
"Return Request Accepted: Your return request for boAt Ba... from your order with order ID OD222900438837406000 has been accepted by the seller. A Wishmaster will pick up the originally delivered item by Saturday, Sep <NUMBER> . The refund will be initiated within 1 business day of the pick up. Please keep the item in the product box along with accessories & tags ready for pickup. Please check your email for important details to ensure a successful pickup.",0,0581f35f4678bf01,0.9487296131894323,1
Hey Dan! Thanks so much for signing up to FireText. Here's a handy video on how it works: <URL> Cheers :),0,bf22b34bac478b76,0.38337116900341195,0
"Thank You for using McDelivery Service, your One Time Password is <NUMBER> . This password expires in 30 minutes.",0,3139fe12d79064fc,0.7196676684890349,1
We hope you enjoyed your meal from KFC Janakpuri (W). We would like to hear about your experience. Please leave your feedback at <URL>,0,bcc085e1b23c2c87,0.7882568314553693,1
See you in 2 hours! Happy Customer Advisory's webinaron customer service 101 startsat 1 pm ET. Join here: <URL>,0,a176bf5737a1b585,0.6779421757085802,0
Thanks for your recent visit at KFC IBC Surat. Please share your feedback at <URL> & avail 10% discount on next visit. T&C,0,62b8c04618615f3a,0.9465972584573862,1
"Dear Customer, registration for Google Pay has started for ICICI Bank. If it was not you, report to your bank. Do not share card details/OTP/CVV with anyone.",0,1fac26deec1fe0d8,0.8827126759657592,1
"Dear Customer, Reference MCWA00020056002 for Cash withdrawal of Rs <NUMBER> from Account <PHONE> is initiated through ICICI Bank INSTA Banking. Please quote this reference number to the Cash Teller.",0,994ac27fa3fd8740,0.9878845992227637,1
"Dear Customer, your ICICI Bank FASTag can now be used for fuel payments at HPCL and IOCL fuel outlets. Details at <URL> . T&C apply.",0,11ba609c1c794c74,0.9123500534694965,1
"Alert: Beware of fraudsters sending SMS citing your SIM block/suspension/KYC/Document verification pending. DO NOT CALL BACK as they may ask you to download Apps to access your mobile phone and may get confidential information including OTP.Do not respond to SMS from unknown numbers, asking for such information other than from our official SMS ID- ViCARE.Avoid falling victim to such frauds, block these numbers and report to <URL>",0,ebf5c2ef17098eb8,0.9867396789419957,1
"Recharge of Rs. <NUMBER> is successful for your Jio number <PHONE> . Entitlement: Benefits: Unlimited Data (1GB High Speed Data, thereafter unlimited at 64Kbps). Validity: Base Plans validity Transaction ID: <PHONE> To view details of your current and upcoming plan, click <URL>",0,f4eec1eca003c8fe,0.9943949824895931,1
"50% Daily Data quota used as on 02-May- <NUMBER> :07. Jio Number : <PHONE> Daily Data quota as per plan : <NUMBER> GB To know more on how to manage your account through MyJio app, click <URL> Dial <NUMBER> , to know your current balance, validity, plan details and for exciting recharge plans.",0,2c6542dc67a76b1d,0.986240587760029,1
For security reasons do not share this OTP with anyone - Team Acko. @ <URL> # <NUMBER>,0,3847f0a4bffdc443,0.9076310590628667,1
"Dear Customer, payment of Rs <NUMBER> for Amazon for Standing Instruction VsnLR2EGj2 could not be processed successfully on your ICICI Bank Debit Card <NUMBER> . You can manage your Standing Instructions by visiting <URL> Cards-Standing Instruction & Recurring Charges-Manage Standing Instructions.",0,ffef7d7e783c86ac,0.9895881908122712,1
"Chase: You successfully validated your device and signed in. Call us, visit <URL> or use the app to manage your devices.",0,265c2554def65e87,0.9619315545341277,1
Welcome to Chase | Zelle(R). Reply HELP for help Message & data rates may apply Message frequency varies by account,0,cc3cf3ee9d770755,0.946733738473184,1
"Sorry, your Walmart delivery is delayed. It's now estimated to arrive Wed, Aug 21. Track: <URL> Reply HELP for info; STOP to opt out",0,757d0144018c7372,0.9207946104673556,1
Walmart: Great Value Low Sodium Ve... arrives by 7:50pm today. Track: <URL> Reply HELP for info; STOP to opt out,0,74430ab23eb7b585,0.6809494815199929,0
Walmart: Great Value Low Sodium Ve... is arriving soon. We'll leave the order at your door. Reply HELP for info; STOP to opt out,0,1779b18602a7c134,0.5830908498116222,0
Walmart: Great news! Your Great Value Low Sodium Ve... arrived. View: <URL> Reply HELP for info; STOP to opt out,0,2d2063a8569f4b80,0.8059016582304989,1
Walmart: CAP Doorway Chin Up Bar shipped. Track: <URL> Reply HELP for info; STOP to opt out,0,5c6ef9d3701b2bef,0.7955148875762951,1
Walmart: TAQU Waterproof 7 Suction... shipped. Track: <URL> Reply HELP for info; STOP to opt out,0,433d196db121f919,0.822071005092781,1
Walmart: Tyr Solid Latex Swim Cap shipped. Track: <URL> Reply HELP for info; STOP to opt out,0,02fd30a83340e2ab,0.8460524252035033,1
"Great news! You have 2 Walmart packages out for delivery, and they should arrive today. Track: <URL> Reply HELP for info; STOP to opt out",0,3df796aade210687,0.794622942410655,1
Walmart: Your TAQU Waterproof 7 Suction... should arrive today. Track: <URL> Reply HELP for info; STOP to opt out,0,bc2ba6464761d3ce,0.7318910194940532,1
Need to set up data and picture messaging? We will be sending you a message with instructions shortly. Or check out <URL> at anytime.,0,f3c9f3f3eed923e6,0.7710607078901112,1
Mint Mobile: Looks like someone tried to access your account from a device or location we don't recognize. We want to make sure it's really you and have blocked this attempt. Reply INFO to learn more. Reply ALLOW to gain access to your account. Reply BLOCK to confirm this wasn't you.,0,f9bb3125f0c63828,0.976866518191109,1
Mint Mobile: Welcome to the first month of the no bill chill life. Last month you used <NUMBER> GB of your unlimited plan. Check your data usage at anytime on the Mint app <URL>,0,d05fc8c507cc098a,0.8954511433610847,1
"Mint Mobile: It’s never too early to lock in more savings. Like right now. You're currently on a 3-Month, Unlimited plan but can save $120/yr on a 12-month plan. Get your early renew on: <URL> Reply STOP to opt out of promotional offers.",0,96c906296628a303,0.74940505121489,1
It's the last month of your Mint 3 Month Unlimited plan. How time flies. Log into your account at <URL> or use our app to renew your plan.,0,3e777cbd246acb69,0.7374962516425023,1
"Your Mint 3-Month, Unlimited plan expires in 2 days. Log into your account at <URL> or via our app to make a payment and keep your Mint service going.",0,c4d0d54f22867ddd,0.8147043078347473,1
